"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","49","4","4","1","2.457737","0","5"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","54","8","6","28.460432","0","385"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","49","97","7","1","66.028648","0","2903"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","49","68","1","1","79.892593","0","1316"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","6","1","1","3.367262","0","26"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","87","7","1","59.092999","0","2065"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","127","8","1","85.354149","0","1974"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","834","2","1","511.555908","0","64465"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","30","1","1","16.852304","0","366"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","4","1","1","1.887054","0","13"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","43","1","1","20.971222","0","498"
"/Game/M_Sky_Level3.M_Sky_Level3","49","6","1","1","2.884926","0","26"
"/Game/M_Sky_Level2.M_Sky_Level2","49","6","1","1","3.131027","0","26"
"/Engine/Engine_MI_Shaders/M_ES_Phong_Opaque_Master_01.M_ES_Phong_Opaque_Master_01","49","70","3","2","47.374203","0","738"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","4","1","1","1.742169","0","13"
"/Game/Assets/Cat/CATS_Baked.CATS_Baked","49","26","1","1","16.304577","0","259"
"/Game/Assets/Gems-fbx/Material.Material","49","16","1","1","10.192472","0","114"
"/Game/Assets/Gems-fbx/Rock.Rock","49","16","1","1","10.568025","0","122"
"/Engine/VREditor/BasicMeshes/M_Floor_01.M_Floor_01","49","23","2","1","15.899132","0","194"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","60","1","1","43.664024","0","1102"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","86","1","1","65.812111","0","1724"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","49","46","3","2","31.955208","0","376"
"/Game/NewMaterial.NewMaterial","49","6","1","1","2.978294","0","18"
"/Game/Assets/Rocks/Rock_05/Meshes/MI_Rock_05.MI_Rock_05","49","14","1","1","8.271854","0","72"
"/Game/Assets/Rocks/Rock_04/Meshes/MI_Rock_04.MI_Rock_04","49","14","1","1","8.126951","0","111"
"/Game/Assets/Rocks/Rock_06/Meshes/MI_Rock_06.MI_Rock_06","49","14","1","1","8.227896","0","82"
"/Game/Assets/Rocks/Rock_01/Meshes/MI_Rock_01.MI_Rock_01","49","14","2","1","8.143298","0","53"
"/Game/Assets/Rocks/Rock_07/Meshes/MI_Rock_07.MI_Rock_07","49","14","4","1","8.302031","0","57"
